customer_id,first_name,last_name,email,phone,city,state,created_at
1,Savannah,Lewis,dustin45@example.org,001-534-548-8645x904,Meadowsside,ID,2026-05-21 16:44:56.780383
2,Andrew,Rivera,eugene84@example.net,8594183665,Port Jeffrey,MP,2026-01-15 20:00:01.355051
3,Michele,Howell,douglaswilliams@example.com,+1-442-763-6875,Lake Michaelbury,MH,2026-07-19 22:04:52.725215
4,Maria,Pena,andrea14@example.com,948-396-0108,Weaverbury,TX,2026-01-10 21:47:32.678946
5,Tamara,Sanchez,emily94@example.org,937.478.6408,Shanetown,PA,2025-03-20 17:27:00.924039
6,Todd,Wilson,ramosabigail@example.org,001-977-561-5386x1779,Davidshire,KS,2026-07-26 15:04:19.839475
7,Meredith,Acosta,carolwalker@example.org,001-215-945-2566x31517,Hendricksmouth,OR,2026-07-13 05:32:23.372955
8,Nicholas,Pierce,pearsonpaula@example.net,649-910-3622x675,North Kimberly,AL,2026-02-25 13:33:32.100012
9,William,Morrow,lgarcia@example.net,561.311.7625,South Christinabury,TN,2025-10-18 03:40:23.675550
10,Candace,White,curtis65@example.org,544-564-2640x133,New Justin,ND,2026-01-03 08:14:32.466324
11,Travis,Price,diana96@example.net,462.941.2451,West Bradleyberg,PW,2026-02-22 06:30:34.204980
12,Jacqueline,Riley,natalieknight@example.com,436-327-6767x62678,Benjaminshire,SD,2025-04-01 20:06:16.531788
13,Casey,Wood,asnyder@example.com,476-963-7036x488,South Laura,PR,2026-01-19 14:02:20.457501
14,James,Taylor,cbarnett@example.com,(209)593-9210x1683,Andrewton,TX,2024-11-18 15:36:00.475334
15,Alexander,Ballard,james38@example.com,775-815-4372,Catherineport,SC,2025-01-03 15:25:38.525980
16,Holly,Smith,mcgrathsteven@example.org,(388)808-5294,Floydfurt,NC,2025-10-23 01:23:03.304697
17,Diana,Smith,richardsoneric@example.net,5499974518,West Julie,ND,2024-09-08 09:30:05.649493
18,Austin,Pearson,lewispaul@example.com,310.926.1133x8683,Juliestad,MP,2025-03-15 03:55:27.400139
19,William,Morgan,jsmith@example.org,589.716.2646,Davidport,VI,2025-03-18 13:13:14.401772
20,Amanda,Bell,zberry@example.org,+1-499-648-9055x449,Smithfort,MN,2026-05-05 04:09:04.212279
21,Tyler,Murphy,deborah53@example.com,(572)572-7626x777,West Kelly,VA,2026-06-04 13:42:56.944070
22,Steven,Colon,perrycody@example.com,(738)465-8423,Masonfort,LA,2025-02-12 06:31:22.029412
23,Alicia,Miller,mwood@example.org,440-773-5251x794,Gillespieshire,WV,2025-07-04 14:02:54.460164
24,Robert,Lopez,amiller@example.com,+1-647-961-0098,Haleyfurt,WA,2025-11-18 12:24:31.472008
25,Robert,Dunn,mooredaniel@example.org,(336)772-1133x11319,West Natasha,FL,2025-12-02 08:32:45.672395
26,David,Dominguez,newtonrobert@example.org,+1-755-281-2830x55749,West Susan,OK,2025-06-25 08:20:58.193732
27,Anthony,Love,erik98@example.org,001-543-458-3632,Cheryltown,UT,2026-06-16 15:54:12.301804
